case_Model,MRP,cpu_Model,MRP,internal-hard-drive_Model,MRP,memory_Model,MRP,motherboard_Model,MRP,power-supply_Model,MRP,video-card_Model,MRP,Total Price
MSI MPG VELOX 100R,825.27,Intel Xeon E5-2620,230.4,Inland TN470,1310.73,Corsair Vengeance 16 GB,1980.12,Asus Prime B450M-A II,950.02,EVGA 750 BQ,434.09,Zotac Twin Edge OC,6222.49,11953.12
Fractal Design Focus 2,794.5,AMD Ryzen 5 2600,3900.27,Western Digital Black SN750,595.5,Kingston FURY Beast RGB 32 GB,2818.41,Asus PRIME B550-PLUS,3133.47,ADATA XPG CORE Reactor 850,574.23,PowerColor Hellhound Spectral,1277.22,13093.6
Antec NX100,874.48,Intel Core i7-7700,4229.39,Inland Performance Plus,671.13,G.Skill Trident Z5 Neo RGB 32 GB,3108.16,Gigabyte B760I AORUS PRO,1050.78,Corsair RM750x (2018),458.55,PNY RTX A-Series,9162.58,19555.07
HYTE Y40,52.55,Intel Core i9-10980XE,1998.17,Solidigm P41 Plus,706.44,G.Skill Aegis 32 GB,362.61,Asus ROG STRIX Z690-I GAMING WIFI,3397.39,be quiet! Pure Power 11,197.15,Gigabyte EAGLE,2459.63,9173.94
Jonsbo N1,198.53,Intel Core i7-4770S,3033.22,TEAMGROUP MS30,1048.69,G.Skill Trident Z5 RGB 96 GB,2391.04,MSI B450 Gaming Plus MAX,1014.76,Corsair RM850x (2018),155.58,MSI GeForce RTX 3060 Ventus 2X 12G,3607.32,11449.14
Zalman S2,51.33,Intel Pentium G2020,1914.67,Toshiba MK3276GSX,198.71,TEAMGROUP T-Create Expert 32 GB,2125.84,NZXT N7 Z790,1673.03,Azza PSAZ-550W,547.88,Asus DUAL OC,2968.87,9480.33
HYTE Y40,154.43,AMD Athlon 200GE,569.68,Silicon Power XS70,701.58,Lexar Ares RGB 32 GB,1964.55,Asus ProArt Z790-CREATOR WIFI,1614.4,Gigabyte UD750GM,293.13,ASRock Taichi OC,6737.18,12034.95
Asus A21,552.82,Intel Core i5-12500,2625.5,Patriot P300,135.71,G.Skill Ripjaws V 32 GB,1140.53,Gigabyte B650M K,623.61,SeaSonic PRIME TX,105.29,XFX Speedster QICK 319 Core,3716.46,8899.92
Phanteks NV5,973.24,AMD Ryzen 7 1700,2422.84,Silicon Power UD85,1885.7,TEAMGROUP T-Force Xtreem ARGB 32 GB,1942.26,ASRock A520M-ITX/ac,2523.41,Asus TUF Gaming 750G,81.55,MSI LP OC,7547.37,17376.37
Fractal Design Define R5,125.96,Intel Core i7-3930K,315.92,Corsair MP700,2117.39,G.Skill Ripjaws V 64 GB,2011.57,Gigabyte A520I AC,2078.14,SeaSonic FOCUS GX,221.22,MSI RTX 4090 GAMING SLIM 24G,5787.64,12657.84
Cooler Master MasterBox Q300L,295.55,AMD Ryzen 9 3950X,4204.59,Crucial BX500,2172.32,G.Skill Ripjaws S5 64 GB,1877.58,MSI PRO Z790-A MAX WIFI,1113.43,Corsair RM750e (2023),205.47,Gigabyte AERO OC,9771.87,19640.81
Fractal Design Define 7 XL,109.52,Intel Core i9-12900F,2489.49,Leven JS600,377.82,Silicon Power GAMING 16 GB,1996.85,Asus TUF GAMING B550-PLUS WIFI II,1681.32,Corsair CX (2023),406.29,PNY XLR8 Gaming VERTO EPIC-X RGB OC,8103.29,15164.58
Corsair 6500X,466.31,Intel Core i5-12400,2734.13,Seagate IronWolf NAS,688.91,Crucial Pro 64 GB,2332.7,ASRock X570 Phantom Gaming-ITX/TB3,2788.72,MSI MPG A850G PCIE5,101.59,PNY RTX A-Series,5061.49,14173.85
Cooler Master MasterBox Q300L,663.07,Intel Core i5-14400F,3949.01,Samsung 860 Evo,2222.18,G.Skill Trident Z5 Neo RGB 64 GB,2271.92,ASRock Z690 Pro RS,1990.46,CoolMax I-500,521.93,Gigabyte WINDFORCE OC,1055.91,12674.48
Phanteks Enthoo Elite,842.85,Intel Pentium Gold G5500,3798.19,Samsung 990 Pro w/Heatsink,1661.73,G.Skill Ripjaws V 32 GB,3150.77,MSI PRO B650-P WIFI,831.52,EVGA 650BP,591.66,Gigabyte WINDFORCE OC,6071.54,16948.26
Thermaltake S200 TG ARGB,104.0,AMD Ryzen 9 5900X,1290.51,Seagate Constellation CS,46.69,G.Skill Trident Z Royal 32 GB,2764.19,ASRock B450M PRO4 R2.0,2714.92,EVGA 600 BQ,440.05,Zotac GAMING Twin Edge OC,6419.29,13779.65
Lian Li O11D EVO RGB,318.63,AMD Ryzen 5 5500,369.17,Samsung 970 Evo,1584.02,Corsair Vengeance LPX 16 GB,2389.06,MSI B650 GAMING PLUS WIFI,798.03,EVGA 500 BQ,465.24,XFX Speedster MERC 310 Black Edition,6160.59,12084.74
Fractal Design Pop Air,631.35,Intel Core i5-12600KF,796.15,Seagate FireCuda 530,2222.12,Corsair Vengeance RGB 128 GB,1322.52,ASRock B650E PG RIPTIDE WIFI,3184.73,EVGA SuperNOVA 750 P5,495.65,MSI D6 VENTUS XS OCV3,7963.65,16616.17
MagniumGear NEO QUBE 2,397.99,AMD Ryzen 5 1600 (14nm),3321.19,Western Digital Blue SA510,457.25,G.Skill Flare X5 64 GB,974.29,ASRock Z690 Taichi,293.16,Corsair HX1500i (2023),396.91,Asus GT730-4H-SL-2GD5,8051.74,13892.53
DIYPC F2,602.79,AMD FX-6300,2063.29,Western Digital Red,1489.73,Corsair Vengeance 128 GB,631.12,Gigabyte B760M DS3H DDR4,3168.9,EVGA SuperNOVA 850 GT,619.58,PNY VERTO,2563.69,11139.1
Corsair iCUE 5000X RGB,78.63,Intel Celeron G4900,1575.26,TEAMGROUP MP33 PRO,2034.57,G.Skill Trident Z Royal 128 GB,399.74,Asus ROG STRIX B650E-E GAMING WIFI,2999.27,EVGA 500 W1,488.27,Gigabyte WINDFORCE OC,9847.81,17423.55
Fractal Design Pop Air RGB,543.52,Intel Core i9-13900,1497.21,Silicon Power P34A60,1388.1,Timetec PINNACLE Konduit 32 GB,1807.56,NZXT N7 B650E,2995.41,Fractal Design Ion Gold,267.39,MSI D6 VENTUS XS OCV3,8077.04,16576.23
DIYPC F2,750.47,Intel Xeon E-2124,1002.22,Crucial P5 Plus,2126.33,G.Skill Flare X5 32 GB,2404.06,Asus ROG STRIX X670E-I GAMING WIFI,2701.2,Corsair HX1000i (2023),598.95,PNY VERTO,3774.97,13358.2
be quiet! Pure Base 500 FX,476.92,Intel Core i5-4690K,1910.93,Samsung 980,457.38,TEAMGROUP Elite 16 GB,3025.59,ASRock Z690 Phantom Gaming-ITX/TB4,3297.59,Apevia Premier,648.41,Zotac GAMING Twin Edge,4760.37,14577.19
Thermaltake Core V21,526.69,Intel Core i3-7350K,496.69,VisionTek QLC,2044.17,Corsair Vengeance 64 GB,1304.95,ASRock B660M Pro RS,3738.75,SeaSonic FOCUS GX,170.07,XFX Speedster MERC 308 Black,1406.72,9688.04
Corsair 2500D Airflow,128.97,Intel Core i7-8700K,3312.24,Crucial T705 W/Heatsink Limited Edition,641.44,G.Skill Ripjaws S5 32 GB,651.06,MSI PRO A620M-E,2886.98,Asus ROG THOR P2 Gaming,59.3,NVIDIA 9001G4112520001,8574.47,16254.46
Fractal Design Core 2300,480.13,Intel Core i5-10400,2889.99,Seagate Barracuda Compute,39.39,Corsair Vengeance LPX 128 GB,2123.55,Asus TUF GAMING Z790-PLUS WIFI D4,3722.79,Corsair CX750M (2021),683.4,Asus DUAL OC,4359.17,14298.42
Cooler Master Q300L V2,221.39,Intel Core i5-760,3985.04,Crucial BX500,2458.24,Silicon Power XPOWER Zenith Gaming 32 GB,1908.24,MSI PRO B760M-P DDR4,1005.74,Thermaltake Toughpower GF A3 - TT Premium Edition,685.34,EVGA SC2,969.81,11233.8
NZXT H5 Flow,745.71,Intel Core i7-10700KF,3043.87,Crucial BX500,1122.34,G.Skill Trident Z5 RGB 96 GB,935.56,Gigabyte A520M K V2,2978.48,Asus ROG THOR 850P,494.75,EVGA SC2,9756.34,19077.05
be quiet! Pure Base 600,874.98,Intel Core i7-10700K,593.0,Samsung 990 Pro,879.19,G.Skill Trident Z5 Neo RGB 64 GB,3521.51,Asus PRIME B550-PLUS,817.8,Silverstone SFX,393.19,XFX Speedster MERC 308 Black,9551.72,16631.39
Zalman P30,471.16,Intel Core i7-5775C,24.22,TEAMGROUP GX2,1438.26,Crucial Classic 16 GB,832.48,ASRock B760M Pro RS/D4 WiFi,1787.56,SeaSonic FOCUS PLUS 850 Gold,568.98,Zotac Twin Edge OC,4675.12,9797.78
Lian Li LANCOOL 205M MESH,241.76,AMD Ryzen 3 3300X,118.6,Sabrent Rocket 4 Plus,717.76,G.Skill Ripjaws V 16 GB,30.83,ASRock B760M Pro RS/D4,3255.0,Deepcool PX1000G,125.82,Asus DUAL,5182.11,9671.88
Antec NX200M,278.59,AMD Ryzen 5 4600G,108.17,Seagate FireCuda,935.44,Corsair Vengeance RGB RT 32 GB,1759.53,Gigabyte X670 GAMING X AX V2,3702.6,Corsair AX1200,459.76,Asus TUF GAMING,3967.22,11211.31
be quiet! Pure Base 600,198.8,Intel Core i5-14600K,2260.8,Samsung 990 EVO,2445.07,G.Skill Trident Z Royal 128 GB,1226.81,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),88.61,EVGA SuperNOVA 750 GM,46.67,MSI ARMOR OC,7111.49,13378.25
be quiet! Silent Base 802,843.65,AMD FX-6100,2215.05,Western Digital Black SN850X,1234.11,Silicon Power SP016GLLTU160N22 16 GB,3016.32,Asus TUF GAMING Z490-PLUS (WI-FI),455.65,EVGA 500 W1,515.4,MSI VENTUS 2X OC,9992.17,18272.35
Deepcool CC560 V2,796.41,AMD Ryzen 7 3800XT,2299.73,Crucial P1,375.48,G.Skill Flare X5 64 GB,2817.06,MSI MEG Z790 ACE,1490.4,Fractal Design Ion Gold,173.58,Zotac Twin Edge OC,8421.73,16374.39
Lian Li O11 Dynamic EVO XL,869.21,AMD Ryzen 9 3900X,4010.05,Crucial P3,1325.43,KingBank SharpBlade 32 GB,2215.32,Gigabyte H410M S2H V2,598.82,Vetroo GV1000,95.53,Asus STRIX GAMING,8835.87,17950.23
Silverstone SG13 V2,745.12,Intel Core i7-14700K,1245.68,Western Digital Green SN350,913.36,Corsair Vengeance RGB 32 GB,2822.9,Asus PRIME B450M-A,3428.48,be quiet! Pure Power 11,133.7,Zotac GAMING Twin Edge,6846.58,16135.82
Corsair iCUE 5000D RGB AIRFLOW,797.73,AMD Ryzen 5 8500G,178.57,Corsair MP700 PRO,1785.71,G.Skill Trident Z5 RGB 48 GB,3735.48,MSI B450M-A PRO MAX II,1193.32,Cooler Master MWE Gold V2 ATX3.0,117.09,Zotac GAMING AMP Extreme AIRO,5893.28,13701.18
MagniumGear NEO QUBE 2,297.31,AMD Ryzen 7 3800X,3257.29,Western Digital Black SN850X w/Heatsink,1452.61,Kingston Server Premier 32 GB,1840.06,ASRock A620M Pro RS,377.15,Deepcool PX1000G,574.02,ASRock Challenger D,1804.23,9602.67
Corsair 275R Airflow,508.48,Intel Core i7-9700,3246.62,Kingston Fury Renegade,740.38,TEAMGROUP T-Create Expert 32 GB,715.84,Asus PRIME B550M-A,1745.56,Cooler Master G700,82.3,XFX Speedster MERC 308 Black,4834.62,11873.8
Montech AIR 903 MAX,913.08,Intel Xeon E-2124,1778.6,Crucial BX500,1094.98,Corsair Vengeance LPX 64 GB,3896.78,MSI B450 Gaming Plus MAX,433.15,EVGA 500 W1,644.25,Gigabyte AERO OC,6595.24,15356.08
Lian Li PC-O11 Dynamic,769.42,Intel Core i5-12600KF,2449.93,Western Digital Green SN350,1651.39,TEAMGROUP T-Create Expert 64 GB,2871.37,ASRock B550 Phantom Gaming 4/ac,120.65,SeaSonic FOCUS PLUS 850 Gold,51.62,AMD 100-505999,2095.57,10009.95
NZXT H5 Flow RGB,196.25,AMD Ryzen 5 3600X,4019.13,Intel Optane P1600X,1744.69,Kingston Server Premier 32 GB,3346.93,Gigabyte B550I AORUS PRO AX,2758.69,Thermaltake Smart BM3,594.24,MSI SUPRIM LIQUID X,1793.66,14453.59
MSI MAG FORGE 100R,653.98,Intel Xeon E3-1220 V3,3075.96,Seagate Surveillance HDD,1265.5,Corsair Vengeance LPX 32 GB,2009.49,ASRock B550M Steel Legend,3838.08,Corsair RM850e (2023),711.82,MSI Ventus XS OCV1,5454.54,17009.37
Cooler Master MasterBox NR200,203.23,AMD FX-6300,2993.76,Samsung 970 Evo,2212.65,ADATA XPG Lancer Blade 32 GB,3912.55,Asus PRIME B650-PLUS,3518.6,Corsair RM750,656.65,MSI GeForce RTX 3060 Ventus 2X 12G,7556.97,21054.41
Fractal Design Node 804,896.71,Intel Core i5-7600K,3975.85,Crucial MX500,1426.23,Crucial Classic 8 GB,1451.02,MSI MAG Z790 TOMAHAWK MAX WIFI,992.61,Corsair RM850x SHIFT,628.32,XFX Speedster SWFT 210 Core,3139.19,12509.93
Cooler Master MasterBox NR200P V2,948.28,AMD Athlon 200GE,856.72,Crucial T500,2397.32,Kingston Server Premier 32 GB,2655.93,ASRock B550M PG RIPTIDE,68.61,EVGA 850 B5,480.22,MSI Radeon RX 6900 XT GAMING X TRIO 16G,1919.76,9326.84
BitFenix Nova Mesh SE,545.89,Intel Core i7-7700T,1728.67,Silicon Power P34A60,696.47,TEAMGROUP T-Create Expert 64 GB,3789.44,MSI MAG B760 TOMAHAWK WIFI,2547.39,EVGA SuperNOVA 650 G3,216.79,MSI GAMING TRIO CLASSIC,6905.45,16430.1
Zalman P30,276.36,AMD Ryzen 9 7900X3D,2766.47,Western Digital Blue SA510,1489.43,TEAMGROUP Elite 16 GB,2080.53,Gigabyte B550I AORUS PRO AX,1494.32,Corsair SF1000L,243.38,ASRock Challenger Pro OC,2233.02,10583.51
Fractal Design Define 7 XL,445.19,AMD Ryzen 5 8600G,1725.34,Kingston NV2,1744.12,G.Skill Ripjaws V 64 GB,3278.4,Asus TUF GAMING X670E-PLUS WIFI,3927.77,Cooler Master V750 SFX GOLD,715.75,Gigabyte AORUS MASTER,7099.33,18935.9
Phanteks Eclipse P400A Digital,410.41,Intel Core i7-5775C,171.97,Seagate IronWolf NAS,1084.85,Corsair Vengeance RGB 64 GB,122.14,Asus TUF GAMING B650M-PLUS WIFI,1073.13,Thermaltake Smart,520.89,MSI VENTUS 2X XS OC,1316.21,4699.6
Cooler Master Cosmos C700M,63.08,Intel Core i7-7800X,439.43,Patriot P300,441.42,TEAMGROUP T-Force Xtreem ARGB 32 GB,490.84,ASRock Z790 Pro RS,536.7,Deepcool DQ750-M-V2L,272.13,Asus TUF Gaming OG OC,4204.78,6448.38
Corsair 2500D Airflow,103.48,Intel Core i9-10850K,1670.79,Kingston NV1,1744.74,Crucial CT2K8G48C40U5 16 GB,552.58,ASRock B550 Phantom Gaming 4/ac,1367.53,Asus ROG THOR 1600T Gaming,504.0,EVGA Gaming iCX,3132.49,9075.61
Phanteks Enthoo Elite,78.26,Intel Core i7-4770K,2522.01,Seagate IronWolf Pro NAS,150.64,TEAMGROUP T-Create Expert 64 GB,2338.0,Gigabyte A520M S2H,3037.09,Thermaltake Toughpower GX3,479.01,ASRock Challenger Pro OC,6058.25,14663.26
Fractal Design Pop Air RGB,332.09,AMD Ryzen 7 3800X,660.91,Silicon Power P34A60,14.32,ADATA XPG Lancer Blade 32 GB,3446.27,Gigabyte A520I AC,607.16,Asus TUF Gaming 1000G,180.76,MSI VENTUS 3X E OC,8343.1,13584.61
Thermaltake Versa H17,79.28,AMD Ryzen 5 5600X,1373.34,Corsair MP700 PRO,2105.91,G.Skill Trident Z RGB 32 GB,3407.41,MSI MAG B760 TOMAHAWK WIFI,1970.58,EVGA 700 BR,87.48,XFX Speedster SWFT 210,6123.21,15147.21
Fractal Design North,125.61,Intel Core i7-960,537.06,Inland Performance Plus,1476.2,G.Skill Trident Z5 Neo 32 GB,2324.79,Gigabyte B450 AORUS M,1959.22,Silverstone SFX,417.81,MSI GAMING X SLIM,404.5,7245.19
Montech X3 Mesh,103.6,Intel Core i5-14400,2653.82,Lexar NM620,2051.06,G.Skill Trident Z RGB 64 GB,2007.97,ASRock B760M Pro RS/D4,3433.62,Asus ROG THOR P2 Gaming,154.22,Asus TUF GAMING,4713.71,15118.0
Montech AIR 903 MAX,698.4,Intel Core i7-6900K,2268.22,Samsung 860 Evo,1546.83,Corsair Vengeance 96 GB,3470.18,ASRock B760M PG SONIC WiFi,3573.06,be quiet! Pure Power 11,127.57,PowerColor Fighter,4820.67,16504.93
GAMDIAS AURA GC1,707.94,AMD Ryzen 9 5950X,424.62,Patriot P310,1282.99,Corsair Vengeance RGB Pro SL 32 GB,2454.23,Gigabyte A620M DS3H,733.67,Cooler Master MWE Gold 850 - V2,457.22,NVIDIA 9001G4112520001,4947.63,11008.3
Deepcool CK560,657.29,Intel Core i3-2120,2980.7,Samsung 970 Evo,21.41,G.Skill Ripjaws V 64 GB,3572.84,Gigabyte B650 AORUS ELITE AX V2,2281.24,GameMax GX Pro Rampage,692.83,Gigabyte AORUS MASTER,4199.76,14406.07
Lian Li LANCOOL III,636.01,Intel Core i9-10900X,2945.23,Western Digital Red,1925.91,Kingston Server Premier 32 GB,213.25,Asus PRIME B550M-A/CSM,2220.31,Apevia Galaxy,587.79,MSI VENTUS XS OC,5192.82,13721.32
Antec P101 Silent,756.07,AMD Ryzen 9 3950X,1968.52,Seagate IronWolf Pro NAS,1847.25,Lexar Ares RGB 32 GB,3391.52,Asus ROG STRIX B760-A GAMING WIFI,3226.09,ADATA XPG Core Reactor II,714.32,PowerColor Red Dragon OC,5452.57,17356.34
Fractal Design Node 804,267.7,Intel Celeron 420,735.94,Western Digital WD_BLACK,1573.41,TEAMGROUP T-Force Delta RGB 16 GB,2329.88,MSI MAG Z790 TOMAHAWK WIFI,2699.05,ADATA XPG CORE Reactor 850,163.37,Asus GT730-4H-SL-2GD5,2333.12,10102.47
MSI MPG VELOX 100R,228.58,AMD Ryzen 5 2600,1971.81,Patriot P310,349.23,Corsair Vengeance LPX 16 GB,2663.42,Asus ROG STRIX Z690-I GAMING WIFI,1599.81,Corsair RM750x (2021),92.98,Sapphire PURE,3073.21,9979.04
Corsair 3000D RGB AIRFLOW,358.67,Intel Core i7-8700T,3684.4,Western Digital Ultrastar DC HC550,1497.37,Kingston FURY Beast 8 GB,1878.61,Asus TUF GAMING B660M-PLUS WIFI,1624.24,ADATA XPG CORE Reactor 850,345.48,Sapphire PULSE,2009.3,11398.07
Thermaltake View 270,262.45,Intel Core i5-12400,2319.84,Silicon Power P34A60,1777.74,TEAMGROUP Elite 16 GB,487.61,MSI MAG B650 TOMAHAWK WIFI,1085.78,EVGA 650 BQ,135.64,PowerColor Fighter,9059.95,15129.01
Phanteks NV7,754.57,Intel Core i3-530,3990.37,Intel 750,180.83,Kingston Server Premier 32 GB,1251.2,Gigabyte B650 GAMING X AX V2,3820.07,Asus ROG THOR 850P,130.42,MSI VENTUS 3X OC,5061.05,15188.51
Deepcool CH560 DIGITAL,618.83,Intel Core i3-10105F,870.66,Patriot P310,1958.41,Crucial Classic 8 GB,2403.03,ASRock B650M-HDV/M.2,3378.43,Corsair SF1000L,616.07,Gigabyte Vision OC,7987.8,17833.23
Lian Li LANCOOL II-W,360.41,AMD Threadripper 1900X,1477.25,Seagate BarraCuda,1505.42,Corsair Vengeance RGB Pro 16 GB,2571.67,MSI PRO B760M-A WIFI DDR4,866.68,be quiet! Pure Power 12 M,378.2,Asus TUF Gaming OG OC,1505.1,8664.73
Fractal Design Core 2300,893.85,Intel Core i3-9100,3473.49,ADATA LEGEND 850 LITE,1443.4,Kingston FURY Beast RGB 64 GB,3586.81,NZXT N7 B650E,111.39,SeaSonic FOCUS GX-750 ATX 3.0,422.56,MSI GeForce RTX 3060 Ventus 2X 12G,9112.83,19044.33
Cooler Master MasterBox NR600 (w/o ODD),84.09,Intel Core i5-4570T,720.1,Seagate FireCuda,901.24,Corsair Vengeance LPX 4 GB,3068.23,ASRock A520M-ITX/ac,2764.21,SeaSonic FOCUS Plus 750 Gold,645.66,Gigabyte EAGLE OC,913.69,9097.22
Thermaltake Core V21,77.27,AMD Ryzen 7 7700,3806.02,MSI SPATIUM M482,1155.64,G.Skill Trident Z Royal 128 GB,1193.33,Gigabyte TRX40 AORUS XTREME,1210.49,be quiet! Straight Power 12,542.53,Asus GT730-4H-SL-2GD5,555.94,8541.22
Lian Li LANCOOL 215,882.47,AMD Ryzen 3 3300X,2225.68,Seagate FireCuda,1707.6,Kingston FURY Beast 8 GB,163.09,Asus TUF GAMING B760M-PLUS WIFI,2637.02,SeaSonic PRIME PX-1600 ATX 3.0,102.37,MSI VENTUS 3X OC,6800.82,14519.05
Corsair 3000D RGB AIRFLOW,233.23,AMD Ryzen 7 3800XT,2012.08,Kingston Fury Renegade,241.94,Corsair Vengeance RGB Pro 16 GB,3200.61,Biostar H610MH,3311.44,SeaSonic PRIME TX,441.03,Gigabyte GAMING OC,4972.01,14412.34
HYTE Y70 Touch,630.22,Intel Core i7-7700K,3677.56,Seagate Exos X18,866.6,Lexar THOR OC 32 GB,2070.62,Asus ROG STRIX B550-F GAMING WIFI II,1968.76,EVGA SuperNOVA 750 GM,162.97,Zotac GAMING Trinity,4416.37,13793.1
Fractal Design Pop Air,600.61,Intel Core i5-13400F,3028.42,Intel 750,1009.55,G.Skill Flare X5 32 GB,1658.43,Gigabyte A620M DS3H,1707.06,SeaSonic FOCUS Plus 650 Gold,240.88,MSI GAMING X TRIO,2159.71,10404.66
Lian Li PC-O11 Dynamic,170.52,Intel Core i3-13100,443.94,Western Digital Blue SN570,292.55,Corsair Vengeance RGB 32 GB,2117.25,Gigabyte B760I AORUS PRO,854.9,Silverstone TX500-G,57.78,Asus STRIX GAMING,748.02,4684.96
BitFenix Nova Mesh SE,980.38,Intel Celeron 420,1299.21,Samsung 990 Pro,1515.53,Crucial CT16G48C40U5 16 GB,1104.21,Asus PRIME Z390-A,3489.23,SeaSonic FOCUS Plus 750 Gold,137.01,MSI VENTUS 2X XS OC,2474.9,11000.47
Phanteks Enthoo Pro 2 Server Edition,743.98,Intel Core i5-14600KF,2009.72,Western Digital SE,935.13,G.Skill Ripjaws V 16 GB,3509.27,Asus PRIME Z790-A WIFI,1686.28,Cooler Master MWE Gold 850 - V2,57.39,Gigabyte AORUS MASTER,3899.33,12841.1
Zalman S2,471.33,Intel Xeon E5-2650L,3808.64,Crucial P1,2342.66,Corsair Vengeance 16 GB,3773.78,ASRock X570 Phantom Gaming 4S,3615.0,EVGA SuperNOVA 1000 P3,47.74,Zotac GAMING Trinity,4452.18,18511.33
Cooler Master MasterBox TD500 Mesh White w/ Controller,51.55,Intel Core i5-10400,1340.73,Inland TN470,2433.12,KingBank SharpBlade 32 GB,1063.22,ASRock B550M-HDV,3025.36,Apevia Prestige,277.3,XFX Speedster SWFT 210,5401.26,13592.54
Thermaltake Core V1,393.19,AMD Athlon 200GE,941.39,Patriot P310,14.37,Silicon Power XPOWER Turbine 32 GB,2977.78,ASRock X570 Phantom Gaming-ITX/TB3,3282.22,Deepcool PM850D,668.16,Asus STRIX GAMING OC,355.34,8632.45
Silverstone SUGO 14,38.53,Intel Core i9-9900KF,1107.75,Leven JS600,1329.88,Corsair Vengeance 16 GB,553.49,Asus ROG MAXIMUS Z790 HERO,2863.31,Thermaltake Toughpower GF1 (2024),426.98,XFX Speedster MERC 310 Black Edition,1892.99,8212.93
Silverstone ALTA F2,277.73,AMD FX-8350,136.85,Samsung 980,1695.42,TEAMGROUP T-Force Vulcan 32 GB,948.7,Asus ROG MAXIMUS Z790 HERO,3426.98,Asus TUF Gaming 750G,474.55,Asus TUF GAMING,7308.31,14268.54
Antec NX100,130.86,AMD Ryzen 3 2200G,758.99,Samsung 870 Evo,1649.69,TEAMGROUP T-Force Delta RGB 16 GB,1278.82,Asus ROG STRIX B650E-I GAMING WIFI,2592.94,Apevia Galaxy,86.28,Sapphire NITRO+,3339.25,9836.83
Thermaltake Versa H17,766.35,AMD Ryzen 5 3400G,1010.14,Western Digital Black SN850X,1456.1,Lexar THOR OC 32 GB,2845.17,Asus ROG STRIX Z690-I GAMING WIFI,1731.25,Cooler Master V750 SFX GOLD,24.19,AMD 100-505999,5129.65,12962.85
Fractal Design Meshify C,167.07,AMD Ryzen 7 7700X,3372.32,Kingston NV2,689.29,Crucial Classic 16 GB,657.35,Gigabyte B650M DS3H,2710.08,SeaSonic FOCUS GX-1000 ATX 3.0,226.98,MSI RTX 3060 Ventus 3X 12G OC,5035.57,12858.66
Corsair 2500D Airflow,100.96,Intel Core i7-4770S,1678.8,Crucial T705,1467.12,Corsair Vengeance RGB RT 32 GB,1197.76,MSI MAG B550M MORTAR MAX WIFI,2630.46,Gigabyte P850GM,480.07,XFX Speedster SWFT 210 Core,2663.28,10218.45
MSI MAG FORGE 100M,776.35,Intel Core i7-13700F,26.28,Corsair MP700 PRO w/Heatsink,1672.22,Corsair Vengeance RGB Pro 16 GB,2925.0,ASRock B650M Pro RS,3159.98,Thermaltake Toughpower GF A3 - TT Premium Edition,216.63,MSI RTX 3060 Ventus 3X 12G OC,2158.99,10935.45
Phanteks Enthoo Elite,695.97,Intel Xeon E3-1245,758.0,Samsung 990 Pro w/Heatsink,78.63,Kingston FURY Beast 32 GB,1868.11,Asus PRIME B550M-A WIFI II,3794.57,Lian Li SP850,230.36,ASRock Challenger D OC,8769.6,16195.24
Silverstone SUGO 14,901.6,Intel Core i3-530,4028.29,Toshiba MK3276GSX,1895.41,G.Skill Trident Z5 RGB 64 GB,3761.21,Gigabyte B650M AORUS ELITE AX,3233.22,Corsair CX550 (2017),585.58,Asus DUAL,1965.76,16371.07
Fractal Design Terra,515.52,AMD Ryzen 5 2600,816.59,Crucial T700 W/Heatsink,1589.24,G.Skill Trident Z RGB 16 GB,2887.07,ASRock X670E PG Lightning,3139.77,Apevia Galaxy,520.31,Gigabyte WINDFORCE,1153.06,10621.56
Cooler Master Cosmos C700M,572.13,AMD Threadripper 1900X,2683.61,Silicon Power XS70,1139.61,G.Skill Trident Z Royal 128 GB,3643.76,Gigabyte B650M AORUS ELITE AX,1084.78,SeaSonic PRIME TX,203.35,Zotac Twin Edge OC,5759.89,15087.13
Silverstone SG13 V2,88.13,Intel Core i7-4930K,2724.13,Intel Optane P1600X,1950.12,Crucial Pro 32 GB,1886.19,Asus PRIME Z390-P,3109.39,Fractal Design Ion Gold,197.68,Asus STRIX GAMING OC,751.61,10707.25
Phanteks Enthoo Pro,633.24,Intel Xeon E5-2620,2815.38,Inland Performance Plus,2171.42,TEAMGROUP T-Force Delta RGB 32 GB,1415.11,ASRock Z690 Phantom Gaming-ITX/TB4,3263.35,ADATA XPG CORE Reactor 850,343.43,ASRock Challenger D,6173.58,16815.51
Lian Li O11D EVO RGB,232.48,Intel Core i3-2120,2854.66,Crucial P1,487.76,G.Skill Trident Z5 Neo 32 GB,2211.41,MSI B450 Gaming Plus MAX,1316.25,Corsair RM750x (2021),45.28,Asus TUF Gaming OG OC,9824.36,16972.2
Thermaltake S100 Snow Edition,439.02,Intel Core i3-7350K,800.2,Samsung 980 Pro w/Heatsink,490.27,TEAMGROUP T-Force Delta RGB 48 GB,3046.93,Gigabyte X670 GAMING X AX V2,1770.71,Corsair RM750x (2018),681.98,Asus ROG STRIX-GTX1070-O8G-GAMING,268.34,7497.45
Phanteks Eclipse P400A Digital,989.83,AMD Ryzen 5 5600X,1643.94,Seagate IronWolf Pro NAS,1681.99,Crucial Classic 8 GB,2834.18,Gigabyte A620M DS3H,1397.73,Corsair SF600,230.59,Asus STRIX GAMING,3075.6,11853.86
